file,corruption,mode,count,valid_caption_rate,invalid_output_rate,caption_class_hit,caption_topk_class_hit,avg_caption_length,distinct_caption_count,repetition_rate,real_minus_vision,real_minus_shuffled,real_minus_random,route,variant
Route5_Qwen2VL_lora_r8_T1_class_only/eval/strong_blur_eeg_only.jsonl,strong_blur,eeg_only,1997,0.9318978467701552,0.06810215322984481,0.16825237856785177,0.5698547821732599,11.657986980470707,708,0.21315265161033814,0.0015022533800700955,0.024536805207811707,-0.021532298447671516,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/strong_noise_vision_only.jsonl,strong_noise,vision_only,1997,0.9494241362043064,0.050575863795693565,0.3545317976965448,0.8497746619929895,9.958437656484728,615,0.2528135151445116,0.08512769153730598,0.0826239359038558,0.050575863795693565,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/strong_noise_real_eeg.jsonl,strong_noise,real_eeg,1997,0.9374061091637457,0.06259389083625433,0.4396594892338508,0.8397596394591887,9.972458688032049,759,0.25389416403437437,0.08512769153730598,0.0826239359038558,0.050575863795693565,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/strong_noise_shuffled_eeg.jsonl,strong_noise,shuffled_eeg,1997,0.9534301452178268,0.04656985478217324,0.357035553329995,0.85628442663996,9.821231847771658,892,0.2559541346096178,0.08512769153730598,0.0826239359038558,0.050575863795693565,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/strong_noise_random_eeg.jsonl,strong_noise,random_eeg,1997,0.9499248873309964,0.05007511266900355,0.3890836254381572,0.8888332498748123,10.238357536304457,755,0.2473609918151731,0.08512769153730598,0.0826239359038558,0.050575863795693565,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/strong_noise_eeg_only.jsonl,strong_noise,eeg_only,1997,0.8868302453680521,0.1131697546319479,0.17075613420130195,0.599899849774662,11.461692538808212,894,0.21354947005923472,0.08512769153730598,0.0826239359038558,0.050575863795693565,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T1_class_only
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/clean_vision_only.jsonl,clean,vision_only,1997,0.9944917376064096,0.0055082623935903685,0.5217826740110165,0.9559339008512769,8.352528793189785,212,0.22093464455757894,0.036554832248372526,0.019028542814221283,-0.011517275913870861,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/clean_real_eeg.jsonl,clean,real_eeg,1997,0.9889834752128193,0.011016524787180737,0.558337506259389,0.9674511767651477,8.366049073610416,492,0.2159263662393357,0.036554832248372526,0.019028542814221283,-0.011517275913870861,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/clean_shuffled_eeg.jsonl,clean,shuffled_eeg,1997,0.9909864797195793,0.009013520280420684,0.5393089634451678,0.970956434651978,8.451677516274412,627,0.21631926327720016,0.036554832248372526,0.019028542814221283,-0.011517275913870861,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/clean_random_eeg.jsonl,clean,random_eeg,1997,0.9949924887330996,0.005007511266900355,0.5698547821732599,0.9559339008512769,8.780671006509765,441,0.21759730282514458,0.036554832248372526,0.019028542814221283,-0.011517275913870861,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/clean_eeg_only.jsonl,clean,eeg_only,1997,0.8127190786179269,0.18728092138207308,0.21181772658988482,0.7421131697546319,9.28743114672008,860,0.20387576730841628,0.036554832248372526,0.019028542814221283,-0.011517275913870861,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/lowres16_vision_only.jsonl,lowres16,vision_only,1997,0.9929894842263395,0.0070105157736605195,0.1742613920881322,0.9889834752128193,7.115673510265398,127,0.2624437044066488,0.11367050575863794,0.1271907861792689,0.09113670505758636,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/lowres16_real_eeg.jsonl,lowres16,real_eeg,1997,0.9809714571857787,0.019028542814221283,0.28793189784677015,0.9939909864797196,7.474211316975463,423,0.2612563019798873,0.11367050575863794,0.1271907861792689,0.09113670505758636,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/lowres16_shuffled_eeg.jsonl,lowres16,shuffled_eeg,1997,0.9804707060590886,0.019529293940911407,0.16074111166750124,0.9914872308462694,7.522283425137706,508,0.26049140866366705,0.11367050575863794,0.1271907861792689,0.09113670505758636,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/lowres16_random_eeg.jsonl,lowres16,random_eeg,1997,0.9979969954932398,0.0020030045067601643,0.19679519278918378,0.9749624436654982,8.073610415623435,443,0.26076076735816345,0.11367050575863794,0.1271907861792689,0.09113670505758636,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/lowres16_eeg_only.jsonl,lowres16,eeg_only,1997,0.801201802704056,0.19879819729594395,0.17225838758137205,0.6895343014521783,8.649974962443666,756,0.18996112383693756,0.11367050575863794,0.1271907861792689,0.09113670505758636,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
Route5_Qwen2VL_lora_r8_T3_class_plus_blip/eval/mixed_vision_only.jsonl,mixed,vision_only,1997,1.0,0.0,0.08212318477716575,0.8823234852278418,8.564346519779669,118,0.24023616037887444,0.16925388082123188,0.17325988983475216,0.1582373560340511,route5_qwenvl_adapter,Route5_Qwen2VL_lora_r8_T3_class_plus_blip
