file,corruption,mode,count,valid_caption_rate,invalid_output_rate,caption_class_hit,caption_topk_class_hit,avg_caption_length,distinct_caption_count,repetition_rate,real_minus_vision,real_minus_shuffled,real_minus_random,variant,caption_target_strategy
Route5_Qwen2VL_lora_r8_T1_class_only/eval/mixed_vision_only.jsonl,mixed,vision_only,1997,0.9969954932398598,0.003004506760140191,0.03405107661492238,0.21632448673009513,10.803204807210816,78,0.20801170259107166,0.1767651477215824,0.16925388082123186,0.1452178267401102,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/mixed_real_eeg.jsonl,mixed,real_eeg,1997,0.9909864797195793,0.009013520280420684,0.21081622433650477,0.5888833249874812,10.691537305958938,520,0.2463472848300089,0.1767651477215824,0.16925388082123186,0.1452178267401102,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/mixed_shuffled_eeg.jsonl,mixed,shuffled_eeg,1997,0.9924887330996495,0.007511266900350533,0.04156234351527291,0.5983975963945919,10.551827741612419,545,0.25165030540593886,0.1767651477215824,0.16925388082123186,0.1452178267401102,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/mixed_random_eeg.jsonl,mixed,random_eeg,1997,0.9929894842263395,0.0070105157736605195,0.06559839759639459,0.6905358037055583,11.29694541812719,515,0.25286437815231,0.1767651477215824,0.16925388082123186,0.1452178267401102,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/mixed_eeg_only.jsonl,mixed,eeg_only,1997,0.8442663995993991,0.1557336004006009,0.14922383575363043,0.5197796695042564,11.244366549824736,786,0.19547634388645904,0.1767651477215824,0.16925388082123186,0.1452178267401102,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/occlusion50_vision_only.jsonl,occlusion50,vision_only,1997,0.9704556835252879,0.029544316474712118,0.46920380570856285,0.7921882824236355,11.205808713069604,259,0.23446093354706274,0.06059088632949422,0.07310966449674511,0.004506760140210342,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/occlusion50_real_eeg.jsonl,occlusion50,real_eeg,1997,0.9449173760640961,0.05508262393590391,0.5297946920380571,0.8252378567851778,11.167751627441161,724,0.23885710489365972,0.06059088632949422,0.07310966449674511,0.004506760140210342,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/occlusion50_shuffled_eeg.jsonl,occlusion50,shuffled_eeg,1997,0.9599399098647972,0.04006009013520284,0.45668502754131196,0.8347521281922884,11.167751627441161,929,0.2404289806893713,0.06059088632949422,0.07310966449674511,0.004506760140210342,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/occlusion50_random_eeg.jsonl,occlusion50,random_eeg,1997,0.9529293940911367,0.04707060590886325,0.5252879318978467,0.8738107160741112,11.405107661492238,818,0.24085697866368874,0.06059088632949422,0.07310966449674511,0.004506760140210342,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/occlusion50_eeg_only.jsonl,occlusion50,eeg_only,1997,0.8908362543815723,0.10916374561842768,0.16474712068102154,0.5963945918878317,11.351527290936405,800,0.21101682771687777,0.06059088632949422,0.07310966449674511,0.004506760140210342,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
